input,result
12.72,13.92
11.86,13.50
12.16,13.69
14.21,13.31
14.30,13.55
12.75,14.03
12.19,13.69
13.92,15.19
12.48,13.83
12.29,13.82
12.39,13.78
11.78,13.59
12.24,13.76
12.71,14.01
13.39,14.49
12.50,13.90
14.38,14.02
13.62,12.86
12.63,13.85
12.51,13.98
11.98,13.59
12.00,13.62
12.83,14.00
12.96,14.34
12.07,13.63
12.26,13.82
11.90,13.50
13.53,13.96
13.12,14.27
11.88,13.48
14.67,14.10
14.07,13.56
12.74,13.88
12.79,13.91
13.69,14.41
14.16,13.76
14.25,13.47
12.24,13.75
12.07,13.69
13.93,12.85
12.02,13.68
